no,soil_code,sample_code,addr,lat,lon,case,drying,analysis,soil_pH,soil_EC,soil_OM,soil_AVP,soil_AVSi,soil_K,soil_Ca,soil_Mg,leaf_N1,leaf_N2,yield_weight,yield_moisture,yield_protein,01_GNDVI,01_LCI,01_NDRE,01_NDVI,01_OSAVI,02_GNDVI,02_LCI,02_NDRE,02_NDVI,02_OSAVI,03_GNDVI,03_LCI,03_NDRE,03_NDVI,03_OSAVI,04_GNDVI,04_LCI,04_NDRE,04_NDVI,04_OSAVI,05_GNDVI,05_LCI,05_NDRE,05_NDVI,05_OSAVI,06_GNDVI,06_LCI,06_NDRE,06_NDVI,06_OSAVI
1,GJ-R1-01,GJ-R1-01,전북특별자치도 김제시 부량면 용성리 22-11,35.75529415342445,126.86812083668457,1,X,KOAT(익산),6.4,0.3,23,20,394,0.10965,7.1856,1.735686,2.03,1.66,1.586,25,,0.010641010694132435,-0.04777545790209135,-0.047760193588303544,0.11000163644372717,0.09454421843884747,0.6251293635551302,0.5326710139879389,0.4192597387266444,0.8075889491894365,0.6868077230108584,0.820839472522922,0.7356827258106344,0.6185490798797015,0.9276767302318967,0.5697854621201981,0.644247185021076,0.5288526912401673,0.4033076391309038,0.8442654268935245,0.7495740321824488,0.7050186827181854,0.539652357266436,0.42903318435217225,0.8038819804882738,0.5902765763168012,0.5273596644002644,0.2845705869988957,0.2115555800135524,0.6515048290891446,0.5894667715165306
2,GJ-R1-02,GJ-R1-02,전북특별자치도 김제시 부량면 용성리 22-11,35.75529184573551,126.86834081574014,1,X,KOAT(익산),6.5,0.3,15,38,384,0.09945,7.14069,1.554714,2.02,1.84,1.615,24.46666667,,0.029872320343486677,-0.040909915910386015,-0.04179628676742866,0.10926551802524605,0.09418013301384912,0.6075228182753714,0.5149622351057883,0.4042580990187692,0.7909770806159266,0.6668763392932766,0.8217516171034946,0.7368935861895162,0.6201824229250672,0.9275443128360215,0.5668827179939516,0.6262198040085654,0.5359962281699412,0.40994147101893047,0.8474901290848039,0.705531735343865,0.7068612976686738,0.5413021557048016,0.43111508752122896,0.8029742864173228,0.5963220216728423,0.5392987601338965,0.2915710104421837,0.21807090264585313,0.6473422215834291,0.586097957702178
3,GJ-R1-03,GJ-R1-03,전북특별자치도 김제시 부량면 용성리 22-11,35.75528977536331,126.86856017971317,1,X,KOAT(익산),6.5,0.3,23,22,264,0.1224,7.19059,1.702782,1.79,2.1,1.558,25.03333333,,-0.013339386904134857,-0.06965577801738383,-0.06671516962585308,0.06520668668719842,0.05687399400313554,0.5701534446985095,0.4662132862783706,0.3646194582063008,0.7432740911881776,0.6216122014735772,0.8078835167857382,0.7182913254166109,0.6019435959669054,0.9136397717005755,0.5488303471339178,0.600248113824593,0.5119021209318603,0.38886335018497226,0.8317805063615458,0.6803331713784599,0.7134072366643508,0.5494253102323606,0.4372241139319901,0.8123091202524316,0.6115666492975143,0.5525155601659751,0.3066854750433268,0.22764308335520506,0.6721304304354346,0.6091881790648069
4,GJ-R1-04,GJ-R1-04,전북특별자치도 김제시 부량면 용성리 22-11,35.75528773841061,126.86878253589451,1,X,KOAT(익산),7,0.2,23,36,529,0.10455,7.22552,1.80972,2.08,1.99,1.179,24.76666667,,0.018927668018581863,-0.03870087204468653,-0.039775448235022555,0.09563563090494663,0.08325120274235326,0.5929865895981908,0.4922874176308167,0.3793556808268257,0.7899157039283112,0.6679955490996561,0.7876070792214912,0.6890269167510121,0.5656054292130567,0.9106272008898448,0.5536483373397436,0.6016988278527332,0.4778812434655979,0.3564277123991835,0.8219211427320854,0.7196241059278436,0.640974795429983,0.445904377991354,0.35265374112243325,0.7199291121468272,0.5286409482592249,0.4743015114170626,0.22256778946300695,0.16866511121649544,0.5654509284859791,0.5063123962132746
5,GJ-R1-05,GJ-R1-05,전북특별자치도 김제시 부량면 용성리 22-11,35.75528546217394,126.86900629873428,1,X,KOAT(익산),7.2,0.2,17,38,594,0.11475,7.48001,1.711008,1.96,1.87,1.2,25.03333333,,0.048125343827345145,-0.0148479590037433,-0.017407940068268617,0.11956372631753102,0.1041323372883509,0.6320256651999729,0.5416228727470228,0.4233379661587587,0.822828770031169,0.7033154390340995,0.8077873114584727,0.7182549869913666,0.5969374550344666,0.9240256334911658,0.5926010914076094,0.6155582427851903,0.4930813128547247,0.37029276714295195,0.8280947265300873,0.7335936592444157,0.6450745184884977,0.4567785831113942,0.35935518831056046,0.7365442744519067,0.5441414693337965,0.4561420042915942,0.20641070276423001,0.1559800107289854,0.558818577666979,0.5018691740877226
6,GJ-R1-06,GJ-R1-06,전북특별자치도 김제시 부량면 용성리 22-11,35.75511483123759,126.86811786884208,1,X,KOAT(익산),6.8,0.2,18,30,386,0.0765,4.56585,1.061154,2.34,2.13,1.655,24.73333333,,-0.002072794390604086,-0.03641728014078921,-0.039959792238571205,0.1311443186899952,0.11013642053341265,0.6852627714583369,0.6091142216006301,0.489552850736029,0.8585689095505904,0.7396224622245184,0.8370083724777473,0.7618182885281422,0.6478524252108151,0.9401247322982198,0.5858356739810601,0.6536597635354697,0.5418038205727475,0.41916463181564434,0.8380729218742189,0.7464778720691896,0.7183813879882661,0.5618358108499305,0.4540592251910607,0.8067669735216921,0.5896536542766713,0.5462238167267601,0.30606963461844133,0.2285690379101275,0.6585450068389439,0.5971779683526302
7,GJ-R1-07,GJ-R1-07,전북특별자치도 김제시 부량면 용성리 22-11,35.755112309348334,126.86833853895237,1,X,KOAT(익산),6.7,0.3,36,30,406,0.10965,8.25845,1.752138,2.07,1.77,1.695,23.66666667,,0.027355468444633366,-0.021084246267069673,-0.027064192872267002,0.14103395021250947,0.11734219230872091,0.6599670020369962,0.5802609874985177,0.46239325356156724,0.8397683816678807,0.713745913302729,0.8297874532720094,0.7509547079763105,0.6357290616599462,0.9348661033056116,0.5716741746471774,0.6228574551304391,0.5301449211100601,0.4073882695036344,0.8352102884679212,0.6942804145300209,0.7138739120155937,0.5514206519221861,0.4434261678342597,0.8033688918480778,0.5975782094333797,0.5453496754132714,0.2978261919566232,0.22590284959860188,0.6304398741230482,0.5693349122631606
8,GJ-R1-08,GJ-R1-08,전북특별자치도 김제시 부량면 용성리 22-11,35.75511002863253,126.86855903429976,1,X,KOAT(익산),6.6,0.3,34,18,437,0.09945,7.87921,1.678104,2.3,2.15,1.806,24.86666667,,0.028154349751643708,-0.014903109255939156,-0.02103376835864212,0.13728830699080016,0.11389626643965389,0.6373275196712008,0.5500879804516118,0.4352080483585452,0.8177528882150662,0.6891242239510105,0.8243663500714046,0.7432808824764785,0.6285953644783266,0.928209727297547,0.556002184139785,0.6198578025796131,0.5208933178252428,0.399764742319902,0.8284881616715826,0.7008323100493259,0.715512242887351,0.5513458765859285,0.4421727821030373,0.805913831218762,0.6076352244329104,0.5557275783632455,0.30585835301788067,0.23080873806429036,0.644360247004616,0.5827949375302038
9,GJ-R1-09,GJ-R1-09,전북특별자치도 김제시 부량면 용성리 22-11,35.755107798749115,126.86878076520506,1,X,KOAT(익산),6.6,0.3,28,14,348,0.10965,7.485,1.628748,2.14,2,1.776,24.83333333,,0.02974037584011183,-0.018384397384981568,-0.02325527647830881,0.13733147618988842,0.11143256038930581,0.6216671674679487,0.5224710194205465,0.40931964827935224,0.8019527955254724,0.679118497490722,0.8140556898131107,0.7292661180523022,0.6121756730190068,0.9235307511962924,0.5619196309061705,0.6398852771623685,0.5223076902133327,0.3980322114905905,0.8384427430797571,0.7431470458279399,0.7046876206191138,0.5343026285317276,0.42451909159333023,0.8007295044001853,0.6044889609387062,0.5462073918078955,0.29645374157418053,0.22249781022429968,0.6430302381726074,0.5817754940925528
10,GJ-R1-10,GJ-R1-10,전북특별자치도 김제시 부량면 용성리 22-11,35.755105325392805,126.86900337009384,1,X,KOAT(익산),6.9,0.3,34,4,288,0.13005,7.39019,1.702782,1.79,2.27,1.826,24.6,,0.060122239108252366,-0.00223889219460685,-0.008516994327300837,0.16244612736714256,0.1330267060054366,0.6351999383223684,0.5437354372258771,0.4292758874725877,0.8144261739836369,0.6906410783569501,0.814789909002309,0.7303001946066457,0.616049179222159,0.9182241646867889,0.5552627712571945,0.6375520159148993,0.524579723854094,0.40026888286617546,0.8391828548698927,0.7451923525714428,0.6906228288559518,0.5218054630809017,0.4144250810560445,0.789687789485873,0.5883721968117955,0.5172401972522922,0.2677346874058861,0.2006573693019258,0.6230221047425043,0.5615151371762481
