no,soil_code,sample_code,addr,lat,lon,case,drying,analysis,soil_pH,soil_EC,soil_OM,soil_AVP,soil_AVSi,soil_K,soil_Ca,soil_Mg,leaf_N1,leaf_N2,yield_weight,yield_moisture,yield_protein,01_GNDVI,01_LCI,01_NDRE,01_NDVI,01_OSAVI,02_GNDVI,02_LCI,02_NDRE,02_NDVI,02_OSAVI,03_GNDVI,03_LCI,03_NDRE,03_NDVI,03_OSAVI,04_GNDVI,04_LCI,04_NDRE,04_NDVI,04_OSAVI,05_GNDVI,05_LCI,05_NDRE,05_NDVI,05_OSAVI,06_GNDVI,06_LCI,06_NDRE,06_NDVI,06_OSAVI
1,HS-R1-01,HS-R1-01,경기도 화성시 장안면 수촌리 1167,37.091373,126.874318,1,O,농업기술센터,7.6,3.24,18.9,44,323,1.28,4.15,5.68,2.32,1.7,2.285,24.06666667,,0.6289699375755515,0.4998696145927773,0.393889622761786,0.7721973335033243,0.4601343223500302,0.834038110882009,0.7583288813896412,0.6416812647142549,0.9425688444405121,0.6913965727326583,0.798960741650107,0.7548174296851116,0.6293509128515744,0.9561416854555181,0.7708899586326812,0.6680998989385211,0.5270506145604731,0.39472005565525176,0.8683941535791575,0.7350411032560656,0.6154498189497929,0.42269148909447846,0.3127941824336858,0.7886323970699622,0.6168419926343288,0.6647292730081363,0.4968437272125422,0.39653588664798894,0.7546542183182376,0.5865549801389315
2,HS-R1-02,HS-R1-02,경기도 화성시 장안면 수촌리 1167,37.091162,126.874216,1,O,농업기술센터,7.4,3.25,21.7,52,387,1.25,4.72,5.65,2.53,1.61,2.622,23.26666667,,0.6456659490411932,0.5270233449437862,0.41094716881875604,0.8146781995171966,0.45822435744265294,0.8332624712464611,0.7597696519379308,0.6432265221104135,0.9431460073932176,0.6843880785327425,0.8014276732204012,0.7546530049840998,0.630755698844178,0.953199532167319,0.7599648552164873,0.6672962729025669,0.5249499482691604,0.39199150871135907,0.869908311135754,0.7385470493415036,0.6242641518547141,0.4307282409196291,0.31819421971599693,0.7921804361476044,0.6163950202859351,0.6695207589970841,0.48768805872084103,0.3889910113087017,0.7456571444329343,0.5997015159798956
3,HS-R1-03,HS-R1-03,경기도 화성시 장안면 수촌리 1167,37.090953,126.874114,1,O,농업기술센터,7.6,3.3,18.1,54,365,1.46,4.53,5.7,2.01,1.97,2.59,24.36666667,,0.6490120804747945,0.5247570753558692,0.41084652574196084,0.8048187196831178,0.47283731899593506,0.853575,0.7899967548076923,0.6784243389423077,0.9562998197115384,0.6750228365384615,0.8191082898376841,0.7748038038951214,0.6553963063405576,0.9585700359555542,0.7869159968782479,0.6806165675661263,0.5468492884568503,0.410422709672873,0.8833573228379449,0.7650727374794307,0.6474961942074678,0.4619762748922014,0.34284223033931444,0.8177685836656158,0.6662915811812252,0.6736815267506444,0.495348891846692,0.3909097757897846,0.7654398642713576,0.6486270708351234
4,HS-R1-04,HS-R1-04,경기도 화성시 장안면 수촌리 1167,37.090743,126.874012,1,O,농업기술센터,7.3,2.54,22.8,46,327,1.19,5.26,4.93,2.04,1.88,2.659,23.4,,0.6605284593155032,0.539290748243427,0.42344729808854636,0.8171743375075552,0.5046987146796615,0.8486105223137381,0.7852043150916698,0.6732916584956011,0.9536120195413437,0.6627365643649256,0.8190046443148465,0.7759091215260793,0.6572713479882597,0.9578839656964657,0.7826802096390791,0.6866863070519659,0.5539107741542213,0.4182298413212435,0.8825722435995124,0.7604596659745504,0.655035441531136,0.47002727321478266,0.3524418652120308,0.8144649613892153,0.6683492657573743,0.687899197648097,0.5140099850368324,0.4101949468136126,0.7708841097874463,0.6386769706299877
5,HS-R1-05,HS-R1-05,경기도 화성시 장안면 수촌리 1167,37.091294,126.874585,1,O,농업기술센터,7.7,3.05,20.3,62,291,1.48,3.97,5,2.43,1.56,2.4,22.93333333,,0.6656816807738815,0.5414623403491535,0.4207007042586155,0.8347202803808949,0.48200739684099153,0.8359545704591617,0.7599404769919061,0.6421041793292608,0.9455145805764141,0.6927398495683819,0.7948117624128653,0.7483809150284334,0.6245342906360829,0.9486159373280237,0.755865585254372,0.6667789569681499,0.5262531907192929,0.39384238799146604,0.8684334282612008,0.7367463116237427,0.6236532045883044,0.43265558112984487,0.3214379887340051,0.7889879463319837,0.6087019644982073,0.6649659297119576,0.49309725389977593,0.3940943415363544,0.747899290635934,0.5853671241981769
6,HS-R1-06,HS-R1-06,경기도 화성시 장안면 수촌리 1167,37.091083,126.874485,1,O,농업기술센터,7.4,2.81,22.2,59,294,1.24,4.31,5.15,2.14,1.64,2.329,24.96666667,,0.6660463805499305,0.5449023354855528,0.4208348602883395,0.8465551895061355,0.4925390931965182,0.8450126802884615,0.7756765024038461,0.6616587139423077,0.9502384615384616,0.68984296875,0.8087568586843553,0.7655094149293881,0.644847198447148,0.9547202650241486,0.7700992646496913,0.6755379277899677,0.5401451886009021,0.4064738588140733,0.8751716588194064,0.74867339397818,0.6331577018035979,0.44495365433358064,0.3313313983196557,0.8012584833433791,0.6284971755996538,0.6634783727251105,0.48046713158682175,0.3784857922504143,0.7526755366897864,0.619533240048797
7,HS-R1-07,HS-R1-07,경기도 화성시 장안면 수촌리 1167,37.090873,126.874385,1,O,농업기술센터,7.6,2.49,18.7,51,320,1.22,4.39,5.36,2.28,1.7,2.506,22.56666667,,0.6598062673810532,0.5372326482301554,0.41803720560841245,0.8277632686392903,0.48319971255138744,0.8510229029504061,0.7884845062338481,0.6760021362755353,0.956876641624877,0.6762016309531135,0.817690898982025,0.7748400099734043,0.6560320706086451,0.9575976275907924,0.7832067671076364,0.6755416922194966,0.5447530834806192,0.40927687951380426,0.880393055693107,0.7628527957017918,0.630987679396717,0.44574677264629964,0.328819896612619,0.8099140475261222,0.665819334367658,0.6627541616466633,0.4884323596925072,0.3842471877589938,0.7627052046242864,0.6431910170398736
8,HS-R1-08,HS-R1-08,경기도 화성시 장안면 수촌리 1167,37.090662,126.874284,1,O,농업기술센터,6.9,2.41,27.2,61,250,1.1,5.42,4.66,2.4,1.57,2.347,24.66666667,,0.6711054028705494,0.5495048061302363,0.4325962902549417,0.8227717633591247,0.5147671503808258,0.8478364894570435,0.7821383960166779,0.6672372145978214,0.9565060373907625,0.6708061241268694,0.8048705457474621,0.7583421083812377,0.6354215439051798,0.953598350928021,0.7829330056147566,0.6906136559719345,0.5585991065714895,0.42280225228356594,0.8849179897001462,0.7577060232622806,0.6508999179817918,0.46623221489736616,0.34894170910875477,0.8121762502704959,0.6592338470500495,0.6849444376227898,0.5128489196417608,0.4091313929829476,0.7697303037512279,0.617202429031342
9,HS-R2-01,HS-R2-01,경기도 화성시 장안면 수촌리 1168,37.091215,126.874854,1,O,농업기술센터,7.5,2.47,19.7,58,389,1.17,5.45,5.44,1.83,1.47,2.545,23.3,,0.6728830949933486,0.5514334529757225,0.42916688908687567,0.842602843168007,0.49045483673018203,0.8509287112380732,0.7774264677593106,0.662517072560788,0.9528556863650354,0.7105665324907664,0.8135999466808341,0.7681005071053999,0.6472467172402459,0.95636129659216,0.7757023104016328,0.6749169921875,0.5333737852515243,0.3994426745903201,0.8742721632050305,0.7459713819550304,0.6228754285256014,0.4280120470286315,0.3161907492096191,0.7926079212981572,0.6229576793526993,0.6625978661087063,0.4848121356852858,0.3844481087773224,0.7487889353855836,0.6019518178800577
10,HS-R2-02,HS-R2-02,경기도 화성시 장안면 수촌리 1168,37.091004,126.874755,1,O,농업기술센터,7.4,2.05,20.3,55,368,1.02,5.82,5.1,2.07,1.58,2.515,22.4,,0.6740337948021223,0.5538345873896481,0.4273547450379429,0.8564787936305781,0.4925722968031957,0.8478645216232228,0.7784487616944666,0.6641004276751092,0.9529383669869822,0.6864116981211916,0.816121934335443,0.7715388374839479,0.6514884143008928,0.9576957878523819,0.7715377625665015,0.6868362970950436,0.5511688863127172,0.4152683638758916,0.8845482009769554,0.7568038478098519,0.6393861810729965,0.44791480476479406,0.3330299741644509,0.8048841772237509,0.6312485628130411,0.6710607482194388,0.4875367912292012,0.38553319820831033,0.7555733675630871,0.6204703497229386
